# Theoretical predictions (under LE)
# s=0.02, Ks=4, rho=0.3
# col 1-> Km 
# cols 2,3 -> expected allele frequencies in the rare and common habitats for the allele that is locally favoured in the rare habitat
0.400 0.918146 0.0319907 
1.200 0.771869 0.0767622 
2.000 0.647613 0.1012410 
2.800 0.541695 0.1111950 
3.600 0.449466 0.1110270 
4.400 0.367148 0.1037620 
5.200 0.292015 0.0914255 
6.000 0.222156 0.0753827 
6.800 0.156244 0.0565715 
7.600 0.093326 0.0356441 
8.400 0.032734 0.0130737 
8.800 0.000000 0.0000000 
9.200 0.000000 0.0000000 
